LP DATA SYSTEM SID HUMAN
en-zh newstest2017 UU-HNMT.5134 11 -0.522268402810163
en-zh newstest2017 jhu-nmt.5153 28 -0.150440953127025
en-zh newstest2017 CASICT-cons.5157 39 -0.330677981704853
en-zh newstest2017 online-A.0 49 0.490614482852024
en-zh newstest2017 CASICT-cons.5157 68 -0.43186463367268
en-zh newstest2017 uedin-nmt.5111 86 0.169318720923875
en-zh newstest2017 online-F.0 100 -0.633625698187707
en-zh newstest2017 online-G.0 124 -0.710844189118354
en-zh newstest2017 Oregon-State-University-S.5174 130 -0.0129185158540343
en-zh newstest2017 uedin-nmt.5111 148 -0.0562373912316619
en-zh newstest2017 SogouKnowing-nmt.5131 157 -0.314598385704879
en-zh newstest2017 Oregon-State-University-S.5174 172 -0.0660101526328091
en-zh newstest2017 jhu-nmt.5153 201 -1.17278764468478
en-zh newstest2017 xmunmt.5165 206 -0.181016754173161
en-zh newstest2017 Oregon-State-University-S.5174 210 -1.00183957465514
en-zh newstest2017 uedin-nmt.5111 233 -0.280935849885607
en-zh newstest2017 jhu-nmt.5153 244 -0.0792835899250495
en-zh newstest2017 xmunmt.5165 266 0.84228189594068
en-zh newstest2017 SogouKnowing-nmt.5131 288 -0.163387096070128
en-zh newstest2017 online-A.0 299 0.380794151653936
en-zh newstest2017 Oregon-State-University-S.5174 299 -0.117506533168963
en-zh newstest2017 online-G.0 315 -0.856789104714224
en-zh newstest2017 xmunmt.5165 355 -0.17126765656593
en-zh newstest2017 online-A.0 366 -0.971222675757079
en-zh newstest2017 UU-HNMT.5134 380 -0.477928470566967
en-zh newstest2017 online-A.0 415 0.598431960604297
en-zh newstest2017 xmunmt.5165 463 -0.0581856774906089
en-zh newstest2017 UU-HNMT.5134 467 -0.990316107851662
en-zh newstest2017 uedin-nmt.5111 471 -0.205902641513491
en-zh newstest2017 online-A.0 497 0.243197915148975
en-zh newstest2017 online-B.0 497 0.454402369725969
en-zh newstest2017 online-A.0 508 -0.464042174976181
en-zh newstest2017 UU-HNMT.5134 534 0.410558201913619
en-zh newstest2017 jhu-nmt.5153 588 1.03979743818607
en-zh newstest2017 CASICT-cons.5157 623 0.764457880400952
en-zh newstest2017 online-B.0 763 0.589405964060151
en-zh newstest2017 online-A.0 768 0.760679265991536
en-zh newstest2017 SogouKnowing-nmt.5131 827 0.225272319812581
en-zh newstest2017 uedin-nmt.5111+online-B.0 849 0.603065957870884
en-zh newstest2017 SogouKnowing-nmt.5131 850 0.538179042962132
en-zh newstest2017 uedin-nmt.5111 1056 -0.255137733181663
en-zh newstest2017 online-A.0 1140 0.384356814177571
en-zh newstest2017 CASICT-cons.5157 1188 0.685967422250014
en-zh newstest2017 CASICT-cons.5157 1226 -0.0472478030552723
en-zh newstest2017 uedin-nmt.5111 1251 -0.491745983586034
en-zh newstest2017 online-B.0 1263 -0.708266981360043
en-zh newstest2017 UU-HNMT.5134 1272 -0.756951931106365
en-zh newstest2017 jhu-nmt.5153 1332 0.34004422599045
en-zh newstest2017 CASICT-cons.5157 1357 -0.329633736526672
en-zh newstest2017 Oregon-State-University-S.5174 1369 -0.373255795152604
en-zh newstest2017 UU-HNMT.5134 1374 -0.455391967444964
en-zh newstest2017 online-A.0 1395 0.664781030597208
en-zh newstest2017 online-B.0 1398 0.0138689176729463
en-zh newstest2017 xmunmt.5165 1402 0.897350121594137
en-zh newstest2017 online-B.0 1511 0.0281558313602327
en-zh newstest2017 SogouKnowing-nmt.5131 1569 0.111579182421857
en-zh newstest2017 online-B.0 1675 -1.0352861019493
en-zh newstest2017 online-B.0 1699 0.442106003897329
en-zh newstest2017 Oregon-State-University-S.5174 1738 -0.258748183164489
en-zh newstest2017 online-B.0 1754 0.282809400164397
en-zh newstest2017 online-G.0 1789 -0.522778277485758
en-zh newstest2017 uedin-nmt.5111 1814 0.74632035320951
en-zh newstest2017 UU-HNMT.5134 1830 -0.653518882055118
en-zh newstest2017 online-G.0 1902 -1.09904996013684
en-zh newstest2017 CASICT-cons.5157 1941 0.181379518892816
en-zh newstest2017 online-A.0 1961 -0.359761873442135
en-zh newstest2017 xmunmt.5165 1965 0.437208381503588
en-zh newstest2017 jhu-nmt.5153 1977 -0.941233922829251
en-zh newstest2017 online-B.0 1978 -0.0122270959059801
en-zh newstest2017 Oregon-State-University-S.5174 1987 -0.60269479608131
en-zh newstest2017 online-G.0 5 -0.707024965391011
en-zh newstest2017 CASICT-cons.5157 103 -1.0088189048143
en-zh newstest2017 xmunmt.5165 115 -0.165517031656452
en-zh newstest2017 jhu-nmt.5153 138 0.564385905463363
en-zh newstest2017 CASICT-cons.5157 139 -0.365416727697586
en-zh newstest2017 online-B.0 157 -0.377615649910248
en-zh newstest2017 xmunmt.5165 174 -0.304456829529842
en-zh newstest2017 xmunmt.5165 181 0.330352688102894
en-zh newstest2017 jhu-nmt.5153 193 0.099091427375338
en-zh newstest2017 Oregon-State-University-S.5174 267 0.471598475428694
en-zh newstest2017 xmunmt.5165 282 0.369328813767938
en-zh newstest2017 jhu-nmt.5153 310 0.663753959450237
en-zh newstest2017 SogouKnowing-nmt.5131 320 0.171075923341306
en-zh newstest2017 jhu-nmt.5153 325 -0.219530940731152
en-zh newstest2017 Oregon-State-University-S.5174 333 -0.839338993568448
en-zh newstest2017 online-A.0 336 -0.39993880381596
en-zh newstest2017 xmunmt.5165 340 -1.01280009438193
en-zh newstest2017 online-G.0 363 0.160764504885817
en-zh newstest2017 xmunmt.5165 366 -0.551611740280899
en-zh newstest2017 SogouKnowing-nmt.5131 376 -0.642697490492993
en-zh newstest2017 Oregon-State-University-S.5174 416 -0.496595081345808
en-zh newstest2017 SogouKnowing-nmt.5131 488 -0.0871349356794307
en-zh newstest2017 xmunmt.5165 541 0.140543549289578
en-zh newstest2017 online-F.0 584 -0.206443456676467
en-zh newstest2017 jhu-nmt.5153 606 -0.190903467292622
en-zh newstest2017 xmunmt.5165 617 0.562345447390141
en-zh newstest2017 online-B.0 651 0.500938198227262
en-zh newstest2017 online-F.0 657 0.15826064402993
en-zh newstest2017 SogouKnowing-nmt.5131 662 0.359306614469398
en-zh newstest2017 jhu-nmt.5153 689 0.400715981053212
en-zh newstest2017 jhu-nmt.5153 719 -0.300108559796062
en-zh newstest2017 jhu-nmt.5153 726 0.396960238873969
en-zh newstest2017 UU-HNMT.5134 743 0.396441321269302
en-zh newstest2017 jhu-nmt.5153 748 0.603275218862367
en-zh newstest2017 online-B.0 844 -0.193759395451039
en-zh newstest2017 online-F.0 853 -0.0577698010233073
en-zh newstest2017 online-G.0 853 0.27232080324693
en-zh newstest2017 online-F.0 955 -0.563086225279147
en-zh newstest2017 xmunmt.5165 971 -0.816909539553106
en-zh newstest2017 uedin-nmt.5111 979 -0.348511392257569
en-zh newstest2017 Oregon-State-University-S.5174 1099 -0.430900696621714
en-zh newstest2017 online-G.0 1113 0.294036269674651
en-zh newstest2017 xmunmt.5165 1134 0.22553907743627
en-zh newstest2017 UU-HNMT.5134 1150 -0.182254259271592
en-zh newstest2017 SogouKnowing-nmt.5131 1197 -0.344581137056549
en-zh newstest2017 online-B.0 1266 -0.798897985089435
en-zh newstest2017 online-G.0 1269 -0.915077011574572
en-zh newstest2017 online-G.0 1302 -0.695515451750028
en-zh newstest2017 CASICT-cons.5157 1347 0.574683462140021
en-zh newstest2017 online-B.0 1365 -0.470974044386453
en-zh newstest2017 online-F.0 1399 -0.774851757503703
en-zh newstest2017 online-F.0 1454 -0.877920160222129
en-zh newstest2017 jhu-nmt.5153 1462 -1.06145153490706
en-zh newstest2017 online-A.0 1469 -0.121769061741176
en-zh newstest2017 SogouKnowing-nmt.5131 1512 -0.368841385118768
en-zh newstest2017 online-A.0 1539 0.525631955993292
en-zh newstest2017 online-B.0 1594 0.604099643785483
en-zh newstest2017 online-G.0 1610 -0.690390242506442
en-zh newstest2017 online-G.0 1626 -0.462769685852813
en-zh newstest2017 jhu-nmt.5153 1630 -0.32332532184547
en-zh newstest2017 jhu-nmt.5153 1651 -0.36747857757125
en-zh newstest2017 Oregon-State-University-S.5174 1676 -1.00813129060275
en-zh newstest2017 uedin-nmt.5111 1706 -0.392017888862884
en-zh newstest2017 jhu-nmt.5153 1742 0.142595758343475
en-zh newstest2017 jhu-nmt.5153 1836 0.191005205500439
en-zh newstest2017 CASICT-cons.5157 1846 -0.75621624404352
en-zh newstest2017 jhu-nmt.5153 1855 -0.209690229112422
en-zh newstest2017 xmunmt.5165 1882 -0.373068238558463
en-zh newstest2017 online-G.0 1905 -0.291197793268698
en-zh newstest2017 UU-HNMT.5134 1938 -0.339650682919933
en-zh newstest2017 online-B.0 35 -0.111408809446066
en-zh newstest2017 online-B.0 72 -0.315566849494343
